Jugador,Nombre,Posición,Nacionalidad,Edad,Equipo,Valor de Mercado en 01/01/2024,Valor de Mercado Actual,Incremento (%),Incremento (€)
"<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src="""" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">",Santi Comesaña,Mediocentro,España,28,Villarreal CF,5.00 mill. €,8.00 mill. €,60.0 %,+3.00 mill. €
"<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src="""" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">",Ayoze Pérez,Extremo izquierdo,España,31,Villarreal CF,7.00 mill. €,10.00 mill. €,42.9 %,+3.00 mill. €
"<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src="""" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">",Peque Fernández,Mediapunta,España,22,Sevilla FC,2.00 mill. €,5.00 mill. €,150.0 %,+3.00 mill €
"<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src="""" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">",Willy Kambwala,Defensa central,Francia,20,Villarreal CF,2.00 mill. €,5.00 mill. €,150.0 %,+3.00 mill. €
"<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src="""" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">",Mikel Jauregizar,Mediocentro,España,20,Athletic Club,200 mil €,3.00 mill €,1400.0 %,+2.80 mill €
"<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src="""" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">",Javi Rodríguez,Defensa central,España,21,RC Celta de Vigo,250 mil €,3.00 mill €,1100.0 %,+2.75 mill €
"<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src="""" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">",Damián Rodríguez,Pivote,España,21,RC Celta de Vigo,250 mil €,3.00 mill €,1100.0 %,+2.75 mill €
"<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src="""" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">",Gerard Martín,Lateral izquierdo,España,22,FC Barcelona,300 mil €,3.00 mill €,900.0 %,+2.70 mill €
"<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src="""" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">",Hugo Álvarez,Extremo izquierdo,España,21,RC Celta de Vigo,300 mil €,3.00 mill €,900.0 %,+2.70 mill €
"<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src="""" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">",Antonio Blanco,Pivote,España,24,Deportivo Alavés,5.00 mill €,7.50 mill €,50.0 %,+2.50 mill €
"<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src="""" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">",Pablo Torre,Mediocentro ofensivo,España,21,FC Barcelona,2.50 mill €,5.00 mill €,100.0 %,+2.50 mill €
"<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src="""" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">",Williot Swedberg,Extremo izquierdo,Suecia,20,RC Celta de Vigo,2.50 mill €,5.00 mill €,100.0 %,+2.50 mill €
"<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src="""" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">",Andoni Gorosabel,Lateral derecho,España,28,Athletic Club,2.50 mill €,5.00 mill €,100.0 %,+2.50 mill €
"<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src="""" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">",Dominik Greif,Portero,Eslovaquia,27,RCD Mallorca,1.50 mill €,4.00 mill €,166.7 %,+2.50 mill €
"<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src=""<img src="""" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">"" width=""50"">",Andrei Rațiu,Lateral derecho,Rumania,26,Rayo Vallecano,1.50 mill €,4.00 mill €,166.7 %,+2.50 mill €
